,Id,tm_Id,Name,Team,Nationality,Date of Birth,Height,Strong Foot,Position,Joined,Contract Expires,Followers
543465,14947,543465,Yadir Meneses,Envigado FC,Colombia,"Apr 1, 2000","1,76 m",no_info,Midfielder - Right Midfield,"Jul 1, 2019",-,no info
648290,14948,648290,Jean Lucas Rivera,Envigado FC,Colombia,"Sep 28, 1997","1,77 m",right,Midfielder - Left Midfield,"Jan 1, 2020",31.12.2020,no info
453922,14949,453922,Michael López,Envigado FC,Colombia,"Feb 8, 1997",no_info,left,Midfielder - Left Midfield,-,-,no info
498687,14950,498687,Yeison Guzmán,Envigado FC,Colombia,"Mar 22, 1998",no_info,no_info,Midfielder - Attacking Midfield,-,-,no info
498685,14951,498685,Camilo Velázquez,Envigado FC,Colombia,"Nov 26, 1997","1,76 m",left,Midfielder - Attacking Midfield,"Jan 1, 2017",-,no info
631086,14952,631086,Julian Sepulveda,Envigado FC,Colombia,"Feb 7, 2000","1,75 m",no_info,Midfielder - Attacking Midfield,"Feb 7, 2020",-,no info
74059,14953,74059,Johnatan Estrada,Envigado FC,Colombia,"Jan 27, 1983","1,82 m",left,Midfielder - Attacking Midfield,"Jul 1, 2019",-,no info
77182,14954,77182,Yamilson Rivera,Envigado FC,Colombia Réunion,"Jun 18, 1989","1,73 m",right,Forward - Right Winger,"Jul 1, 2019",-,no info
208714,14955,208714,Arley Rodríguez,Carlos A. Mannucci,Colombia,"Feb 13, 1993","1,76 m",right,Forward - Centre-Forward,"Feb 28, 2020",-,38534
413659,14956,413659,Michael Gómez,Envigado FC,Colombia,"Apr 4, 1997",no_info,right,Forward - Centre-Forward,"Jan 1, 2016",-,no info
191631,14957,191631,Jordán,Envigado FC,Colombia,"Oct 17, 1990","1,80 m",right,Forward - Centre-Forward,"Jul 1, 2019",-,no info
649317,14958,649317,Jhon Durán,Envigado FC,Colombia,"Dec 13, 2003","1,85 m",no_info,Forward - Centre-Forward,"Jul 1, 2019",-,no info
130482,14959,130482,Juan Camilo Chaverra,Cúcuta Deportivo,Colombia,"Dec 12, 1992","1,85 m",right,Goalkeeper,"Jan 1, 2018",-,no info
361439,14960,361439,Esteban Giraldo,Cúcuta Deportivo,Colombia,"Jun 3, 1992","1,99 m",right,Goalkeeper,"Jan 1, 2020",-,no info
210481,14961,210481,Nicolás Palacios,Cúcuta Deportivo,Colombia,"Feb 11, 1992","1,90 m",right,Defender - Centre-Back,"Jan 1, 2020",-,no info
77175,14962,77175,Hányer Mosquera,Cúcuta Deportivo,Colombia,"Jan 15, 1987","1,86 m",right,Defender - Centre-Back,"Jan 1, 2020",-,no info
140008,14963,140008,Diego Peralta,Cúcuta Deportivo,Colombia,"Jan 2, 1985","1,88 m",right,Defender - Centre-Back,"Jan 1, 2020",-,no info
648292,14964,648292,José Orlando Pérez,Cúcuta Deportivo,Colombia,"Apr 14, 1997",no_info,no_info,Defender - Centre-Back,"Mar 22, 2018",-,no info
447702,14965,447702,Cristian Valencia,Cúcuta Deportivo,Colombia,"Dec 4, 1991","1,86 m",right,Defender - Centre-Back,"Jan 1, 2020",-,no info
570524,14966,570524,Diego Sánchez,Cúcuta Deportivo,Colombia,"Mar 28, 1993","1,82 m",left,Defender - Left-Back,"Jul 1, 2019",-,no info
422866,14967,422866,Tomás Maya,Cúcuta Deportivo,Colombia,"Sep 12, 1996","1,75 m",left,Defender - Left-Back,"Jan 1, 2020",-,no info
77207,14968,77207,Gilberto García,Cúcuta Deportivo,Colombia,"Jan 27, 1987","1,80 m",right,Defender - Right-Back,"Jan 1, 2020",30.06.2020,no info
419536,14969,419536,Roberto Carlos Chacón,Cúcuta Deportivo,Venezuela Colombia,"Apr 25, 1999","1,83 m",right,Defender - Right-Back,"Jan 1, 2020",-,no info
637526,14970,637526,Juan Marín,Cúcuta Deportivo,Colombia,"Aug 19, 2000",no_info,right,Midfielder - Defensive Midfield,"Jan 1, 2020",-,no info
587501,14971,587501,Juan Carlos Caicedo,Cúcuta Deportivo,Colombia,"Jan 4, 1998",no_info,right,Midfielder - Defensive Midfield,"Jan 1, 2020",-,no info
460892,14972,460892,Yeison Carabalí,Cúcuta Deportivo,Colombia,"Aug 6, 1993","1,80 m",right,Midfielder - Central Midfield,"Jul 1, 2019",-,no info
663186,14973,663186,Juan Patiño,Cúcuta Deportivo,Colombia,"Sep 10, 1998",no_info,left,Midfielder - Central Midfield,"Jan 1, 2020",-,no info
747713,14974,747713,Hector Solano,Cúcuta Deportivo,Colombia,"Mar 26, 1999",no_info,no_info,Midfielder - Central Midfield,-,-,no info
441597,14975,441597,Matías Rodríguez,Cúcuta Deportivo,Argentina,"Mar 29, 1993","1,75 m",right,Midfielder - Attacking Midfield,"Jan 24, 2020",-,no info
312782,14976,312782,Jhoan Arenas,Cúcuta Deportivo,Colombia Venezuela,"Jan 16, 1990","1,71 m",left,Midfielder - Attacking Midfield,"Jan 1, 2020",-,no info
747706,14977,747706,Winston Ramírez,Cúcuta Deportivo,Colombia,"Dec 1, 2000",no_info,no_info,Forward,"Jan 1, 2020",-,no info
148690,14978,148690,Andrés Escobar,Cúcuta Deportivo,Colombia,"May 14, 1991","1,67 m",right,Forward - Left Winger,"Feb 6, 2020",-,no info
637511,14979,637511,Jefferson Solano,Cúcuta Deportivo,Colombia,"Feb 24, 1996",no_info,no_info,Forward - Left Winger,"Jan 1, 2016",-,no info
384672,14980,384672,Ronaldo Ariza,Cúcuta Deportivo,Colombia,"Jan 17, 1998","1,70 m",left,Forward - Left Winger,"Jan 1, 2020",-,no info
176255,14981,176255,Hernán Burbano,Cúcuta Deportivo,Colombia Mexico,"Mar 5, 1988","1,69 m",right,Forward - Left Winger,"Jan 14, 2020",-,no info
460693,14982,460693,Jaen Pineda,Cúcuta Deportivo,Colombia,"Sep 17, 1997",no_info,right,Forward - Right Winger,"Jan 17, 2020",-,no info
460890,14983,460890,Christian Mina,Cúcuta Deportivo,Colombia,"Apr 14, 1997","1,81 m",right,Forward - Right Winger,"Jul 1, 2019",-,no info
73682,14984,73682,Luis Cabezas,Cúcuta Deportivo,Colombia,"Mar 3, 1986","1,84 m",left,Forward - Centre-Forward,"Jan 24, 2020",31.12.2020,no info
182991,14985,182991,Agustín Vuletich,Cúcuta Deportivo,Argentina Croatia,"Nov 3, 1991","1,85 m",right,Forward - Centre-Forward,"Jan 15, 2020",-,no info
747707,14986,747707,Jefferson Ramos,Cúcuta Deportivo,Colombia,"Jun 21, 1998",no_info,right,Forward - Centre-Forward,"Jan 1, 2020",-,no info
227112,14987,227112,Álvaro Villete,Boyacá Patriotas FC,Uruguay,"Jul 1, 1991","1,88 m",no_info,Goalkeeper,"Jan 8, 2019",-,no info
426656,14988,426656,Javier Orobio,Boyacá Patriotas FC,Colombia,"Jul 3, 1996",no_info,no_info,Goalkeeper,"Jan 1, 2020",-,no info
77178,14989,77178,Alejandro Otero,Boyacá Patriotas FC,Colombia,"Feb 10, 1984","1,85 m",right,Goalkeeper,"Jan 1, 2018",-,no info
298628,14990,298628,Miller Mosquera,Boyacá Patriotas FC,Colombia,"Jul 16, 1992","1,79 m",left,Defender - Centre-Back,"Jan 1, 2018",-,no info
77201,14991,77201,Daniel Briceño,Boyacá Patriotas FC,Colombia Venezuela,"Sep 6, 1985","1,80 m",right,Defender - Centre-Back,"Jan 1, 2019",-,no info
253860,14992,253860,Darwin Carrero,Boyacá Patriotas FC,Colombia,"Nov 4, 1993","1,83 m",right,Defender - Centre-Back,"Jul 1, 2019",-,no info
362093,14993,362093,Martín Payares,Boyacá Patriotas FC,Colombia,"Mar 27, 1995","1,83 m",right,Defender - Centre-Back,"Jul 1, 2019",-,no info
156555,14994,156555,César Hinestroza,Alianza Petrolera,Colombia,"Nov 20, 1989","1,72 m",left,Defender - Left-Back,"Jan 1, 2020",-,no info
495689,14995,495689,Julián Millán,Boyacá Patriotas FC,Colombia,"Mar 27, 1998","1,86 m",no_info,Defender - Left-Back,"Jan 3, 2019",-,no info
366711,14996,366711,Israel Alba,Jaguares de Córdoba,Colombia,"May 6, 1995","1,75 m",right,Defender - Right-Back,"Jan 1, 2020",-,no info
498650,14997,498650,Santiago Roa,Boyacá Patriotas FC,Colombia,"Oct 4, 1995","1,78 m",right,Defender - Right-Back,"Jan 1, 2017",-,no info
726987,14998,726987,David Josué Pérez Martínez,Boyacá Patriotas FC,Colombia,"Nov 11, 1998",no_info,no_info,Midfielder,-,-,no info
388617,14999,388617,Jesús Marimón,Boyacá Patriotas FC,Colombia,"Sep 9, 1998","1,82 m",right,Midfielder - Defensive Midfield,"Jul 3, 2019",-,no info
457525,6000,457525,Lewis Butroid,Scunthorpe United,England,"Sep 17, 1998","1,75 m",no_info,Defender - Left-Back,"Jul 1, 2017",30.06.2021,1022
49409,6001,49409,James Perch,Scunthorpe United,England Jamaica,"Sep 28, 1985","1,80 m",right,Defender - Right-Back,"Aug 1, 2018",30.06.2020,no info
95683,6002,95683,Jordan Clarke,Scunthorpe United,England,"Nov 19, 1991","1,83 m",right,Defender - Right-Back,"Jan 10, 2015",30.06.2020,no info
339734,6003,339734,Levi Sutton,Scunthorpe United,England,"Mar 24, 1996","1,80 m",right,Defender - Right-Back,"Jul 1, 2014",30.06.2020,no info
425900,6004,425900,Jordan Gabriel,Scunthorpe United,England,"Sep 25, 1998",no_info,right,Defender - Right-Back,"Jan 24, 2020",31.05.2020,no info
210202,6005,210202,James Horsfield,Scunthorpe United,England,"Nov 30, 1995","1,78 m",right,Midfielder - Defensive Midfield,"Jul 17, 2018",30.06.2020,no info
473080,6006,473080,Regan Slater,Scunthorpe United,England,"Sep 11, 1999","1,73 m",no_info,Midfielder - Defensive Midfield,"Jul 27, 2019",31.05.2020,no info
399436,6007,399436,Ben Liddle,Scunthorpe United,England,"Sep 21, 1998","1,70 m",no_info,Midfielder - Defensive Midfield,"Jan 31, 2020",31.05.2020,no info
473078,6008,473078,Jordan Hallam,Scunthorpe United,England,"Oct 6, 1998","1,73 m",no_info,Midfielder - Attacking Midfield,"Jan 25, 2019",30.06.2020,no info
451862,6009,451862,Alfie Beestin,Scunthorpe United,England,"Oct 1, 1997","1,78 m",no_info,Midfielder - Attacking Midfield,"Jan 15, 2020",30.06.2020,no info
242802,6010,242802,Ryan Colclough,Scunthorpe United,England,"Dec 27, 1994","1,84 m",no_info,Forward - Left Winger,"Aug 9, 2018",30.06.2021,no info
566408,6011,566408,Abo Eisa,Scunthorpe United,England Sudan,"Jan 5, 1996","1,80 m",right,Forward - Left Winger,"Aug 15, 2019",30.06.2021,no info
221687,6012,221687,Alex Gilliead,Scunthorpe United,England,"Feb 11, 1996","1,83 m",right,Forward - Right Winger,"Jul 9, 2019",30.06.2021,no info
159894,6013,159894,Kevin van Veen,Scunthorpe United,Netherlands,"Jun 1, 1991","1,85 m",no_info,Forward - Centre-Forward,"Jan 2, 2019",30.06.2021,no info
414892,6014,414892,George Miller,Scunthorpe United,England,"Aug 11, 1998","1,78 m",no_info,Forward - Centre-Forward,"Aug 22, 2019",31.05.2020,no info
285844,6015,285844,Devarn Green,Scunthorpe United,England,"Aug 26, 1996","1,81 m",right,Forward - Centre-Forward,"Jan 31, 2020",30.06.2021,no info
504855,6016,504855,John McAtee,Scunthorpe United,England,"Jul 23, 1999","1,80 m",no_info,Forward - Centre-Forward,"Jul 8, 2019",30.06.2020,no info
258910,6017,258910,Lewis Ward,Exeter City,England,"Mar 5, 1997","1,94 m",no_info,Goalkeeper,"Jul 1, 2019",30.06.2021,no info
340360,6018,340360,Jared Thompson,Exeter City,Northern Ireland England,"Feb 23, 1999",no_info,no_info,Goalkeeper,"Feb 18, 2020",30.06.2020,no info
186184,6019,186184,Jonny Maxted,Exeter City,England,"Sep 16, 1992","1,90 m",right,Goalkeeper,"Jul 1, 2019",30.06.2020,1313
191870,6020,191870,Gary Warren,Exeter City,England,"Aug 16, 1984","1,88 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2020,no info
136581,6021,136581,Aaron Martin,Exeter City,England,"Sep 29, 1989","1,90 m",right,Defender - Centre-Back,"Jul 1, 2018",30.06.2020,no info
110866,6022,110866,Tom Parkes,Exeter City,England,"Jan 15, 1992","1,91 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2020,no info
589090,6023,589090,Jordan Dyer,Exeter City,England,"Jan 18, 2000",no_info,no_info,Defender - Centre-Back,"Jul 1, 2019",30.06.2020,no info
77559,6024,77559,Dean Moxey,Exeter City,England,"Jan 14, 1986","1,80 m",left,Defender - Left-Back,"Jul 1, 2017",30.06.2020,no info
20996,6025,20996,Craig Woodman,Exeter City,England,"Dec 22, 1982","1,75 m",left,Defender - Left-Back,"Jul 9, 2012",30.06.2020,no info
183172,6026,183172,Pierce Sweeney,Exeter City,Ireland,"Sep 11, 1994","1,83 m",right,Defender - Right-Back,"Jul 28, 2016",30.06.2020,2960
565675,6027,565675,Jayden Richardson,Exeter City,England,"Sep 4, 2000",no_info,right,Defender - Right-Back,"Aug 16, 2019",31.05.2020,no info
533911,6028,533911,Harry Kite,Exeter City,England,"Jun 29, 2000","1,76 m",no_info,Midfielder,"Feb 7, 2018",30.06.2020,no info
533912,6029,533912,Josh Key,Exeter City,England,"Nov 19, 1999","1,78 m",no_info,Midfielder,"Feb 7, 2018",30.06.2020,no info
589091,6030,589091,James Dodd,Exeter City,England,"Nov 1, 2000","1,63 m",no_info,Midfielder,"Jul 1, 2019",30.06.2020,no info
327707,6031,327707,Nigel Atangana,Exeter City,France Cameroon,"Sep 9, 1989","1,87 m",no_info,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2021,2365
554235,6032,554235,Will Dean,Exeter City,England,"Aug 7, 2000","1,79 m",no_info,Midfielder - Defensive Midfield,"Jul 1, 2018",30.06.2020,no info
43265,6033,43265,Nicky Law,Exeter City,England,"Mar 29, 1988","1,78 m",right,Midfielder - Central Midfield,"Jul 2, 2018",30.06.2020,no info
130230,6034,130230,Jake Taylor,Exeter City,Wales England,"Dec 1, 1991","1,78 m",right,Midfielder - Central Midfield,"Jan 25, 2016",30.06.2020,no info
472714,6035,472714,Archie Collins,Exeter City,England,"Aug 31, 1999","1,74 m",no_info,Midfielder - Central Midfield,"Jul 1, 2017",30.06.2020,no info
237552,6036,237552,Brennan Dickenson,Exeter City,England,"Feb 26, 1993","1,84 m",left,Midfielder - Left Midfield,"Jan 17, 2020",30.06.2020,no info
527791,6037,527791,Jack Sparkes,Exeter City,England,"Sep 29, 2000",no_info,left,Midfielder - Left Midfield,"Jul 1, 2017",30.06.2020,no info
15449,6038,15449,Lee Martin,Exeter City,England,"Feb 9, 1987","1,80 m",left,Midfielder - Attacking Midfield,"Jul 24, 2018",30.06.2020,no info
288274,6039,288274,Matt Jay,Exeter City,England,"Feb 27, 1996","1,78 m",no_info,Midfielder - Attacking Midfield,"Jul 1, 2014",30.06.2020,no info
554234,6040,554234,Joel Randall,Exeter City,England,"Oct 29, 1999","1,77 m",no_info,Midfielder - Attacking Midfield,"Feb 7, 2018",30.06.2020,no info
527794,6041,527794,Ben Seymour,Exeter City,England,"Apr 16, 1999","1,72 m",no_info,Forward,"Jul 1, 2017",30.06.2020,no info
13463,6042,13463,Lee Holmes,Exeter City,England,"Apr 2, 1987","1,75 m",left,Forward - Left Winger,"Jul 1, 2015",30.06.2020,no info
415170,6043,415170,Randell Williams,Exeter City,England,"Dec 30, 1996","1,73 m",left,Forward - Right Winger,"Jan 18, 2019",30.06.2020,no info
130234,6044,130234,Nicky Ajose,Exeter City,England Nigeria,"Oct 7, 1991","1,80 m",right,Forward - Centre-Forward,"Jul 3, 2019",-,no info
136536,6045,136536,Ryan Bowman,Exeter City,England,"Nov 30, 1991","1,88 m",no_info,Forward - Centre-Forward,"Jan 2, 2019",30.06.2020,no info
67221,6046,67221,Alex Fisher,Exeter City,England,"Jun 30, 1990","1,90 m",no_info,Forward - Centre-Forward,"Jul 1, 2019",30.06.2020,no info
163532,6047,163532,Adam Smith,Forest Green Rovers,England,"Nov 23, 1992","1,93 m",right,Goalkeeper,"Jul 1, 2019",30.06.2021,no info
27053,6048,27053,Conrad Logan,Forest Green Rovers,Ireland,"Apr 18, 1986","1,88 m",right,Goalkeeper,"Jan 24, 2020",31.05.2020,no info
319306,6049,319306,Lewis Thomas,Forest Green Rovers,Wales,"Sep 20, 1997","1,85 m",no_info,Goalkeeper,"Jul 1, 2018",30.06.2020,no info
25384,6050,25384,Matt Mills,Forest Green Rovers,England,"Jul 14, 1986","1,91 m",right,Defender - Centre-Back,"Jul 1, 2019",30.06.2020,no info
335177,6051,335177,Farrend Rawson,Forest Green Rovers,England,"Jul 11, 1996","1,93 m",no_info,Defender - Centre-Back,"Jan 4, 2018",30.06.2020,no info
387355,6052,387355,Nathan McGinley,Forest Green Rovers,England,"Sep 15, 1996","1,87 m",left,Defender - Centre-Back,"Jan 1, 2019",30.06.2020,no info
81876,6053,81876,Joseph Mills,Forest Green Rovers,England,"Oct 30, 1989","1,75 m",left,Defender - Left-Back,"Jul 1, 2018",30.06.2020,no info
125119,6054,125119,Chris Stokes,Forest Green Rovers,England,"Mar 8, 1991","1,84 m",left,Defender - Left-Back,"Jan 31, 2020",30.06.2020,no info
534701,6055,534701,Liam Kitching,Forest Green Rovers,England Ireland,"Oct 1, 1999",no_info,left,Defender - Centre-Back,"Jul 8, 2019",30.06.2022,no info
197910,6056,197910,Liam Shephard,Forest Green Rovers,Wales,"Nov 22, 1994","1,78 m",right,Defender - Right-Back,"Jul 1, 2018",30.06.2020,no info
376248,6057,376248,Dominic Bernard,Forest Green Rovers,Ireland,"Mar 29, 1997",no_info,right,Defender - Right-Back,"Jul 17, 2019",30.06.2020,no info
636888,6058,636888,Udoka Godwin-Malife,Forest Green Rovers,England,"May 9, 2000","1,80 m",no_info,Defender - Right-Back,"Jan 24, 2019",30.06.2021,no info
64844,6059,64844,Lloyd James,Forest Green Rovers,Wales England,"Feb 16, 1988","1,80 m",right,Midfielder - Defensive Midfield,"Jul 4, 2018",30.06.2020,no info
169625,6060,169625,Carl Winchester,Forest Green Rovers,Northern Ireland,"Apr 12, 1993","1,78 m",right,Midfielder - Central Midfield,"Jul 1, 2018",30.06.2020,no info
323652,6061,323652,Ebou Adams,Forest Green Rovers,The Gambia England,"Jan 15, 1996","1,78 m",no_info,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2021,no info
145539,6062,145539,Kevin Dawson,Forest Green Rovers,Ireland,"Jun 30, 1990","1,79 m",no_info,Midfielder - Right Midfield,"Jul 1, 2019",30.06.2020,no info
135111,6063,135111,Elliott Frear,Forest Green Rovers,England,"Sep 11, 1990","1,73 m",no_info,Midfielder - Left Midfield,"Oct 18, 2019",30.06.2020,no info
136368,6064,136368,George Williams,Forest Green Rovers,Wales England,"Sep 7, 1995","1,72 m",left,Midfielder - Attacking Midfield,"Jul 1, 2018",30.06.2020,no info
346485,6065,346485,Odin Bailey,Forest Green Rovers,England,"Dec 8, 1999",no_info,left,Midfielder - Attacking Midfield,"Jan 24, 2020",31.05.2020,10177
189751,6066,189751,Jevani Brown,Forest Green Rovers,Jamaica England,"Oct 16, 1994","1,75 m",left,Midfielder - Attacking Midfield,"Jan 4, 2020",31.05.2020,no info
662956,6067,662956,Taylor Allen,Forest Green Rovers,England,"Jun 16, 2000",no_info,left,Forward,"Jul 1, 2019",31.05.2020,no info
31910,474,31910,Felix Kroos,1.FC Union Berlin,Germany,"Mar 12, 1991","1,84 m",right,Midfielder - Central Midfield,"Jul 1, 2016",30.06.2020,no info
735677,6068,735677,Josh March,Forest Green Rovers,England,no_info,no_info,no_info,Forward,"Jan 6, 2020",30.06.2020,no info
347332,6069,347332,Dayle Grubb,Forest Green Rovers,England,"Jul 24, 1991","1,83 m",no_info,Forward - Left Winger,"Jan 1, 2018",30.06.2020,no info
319529,6070,319529,Junior Mondal,Forest Green Rovers,England,"Mar 27, 1997","1,76 m",right,Forward - Left Winger,"Jan 2, 2019",30.06.2020,no info
121236,6071,121236,Rob Hall,Forest Green Rovers,England,"Oct 20, 1993","1,73 m",left,Forward - Right Winger,"Jan 24, 2020",31.05.2020,8566
341042,6072,341042,Aaron Collins,Forest Green Rovers,Wales,"May 27, 1997","1,78 m",no_info,Forward - Right Winger,"Jul 1, 2019",30.06.2021,no info
339023,6073,339023,Mathew Stevens,Forest Green Rovers,England,"Feb 12, 1998","1,80 m",no_info,Forward - Centre-Forward,"Jul 27, 2019",30.06.2022,no info
470371,6074,470371,Shawn McCoulsky,Forest Green Rovers,England,"Jan 6, 1997","1,83 m",no_info,Forward - Centre-Forward,"Jan 3, 2019",30.06.2021,no info
344589,6075,344589,Jack Aitchison,Forest Green Rovers,Scotland,"Mar 5, 2000","1,80 m",right,Forward - Centre-Forward,"Sep 2, 2019",31.05.2020,no info
89648,6076,89648,David Cornell,Northampton Town,Wales,"Mar 28, 1991","1,86 m",right,Goalkeeper,"Jul 1, 2016",30.06.2020,no info
22206,6077,22206,Steve Arnold,Northampton Town,England,"Aug 22, 1989","1,85 m",right,Goalkeeper,"Jul 1, 2019",30.06.2021,no info
671715,6078,671715,Bradley Lashley,Northampton Town,England,"Sep 12, 2000","1,83 m",no_info,Goalkeeper,"Jul 1, 2019",30.06.2020,no info
744498,6079,744498,Michael Harding,Northampton Town,United States,"Oct 18, 2001",no_info,no_info,Defender,-,30.06.2020,no info
226978,6080,226978,Jordan Turnbull,Northampton Town,England,"Oct 31, 1994","1,85 m",left,Defender - Centre-Back,"Jan 11, 2018",30.06.2020,no info
244040,6081,244040,Lloyd Jones,Northampton Town,England Wales,"Oct 7, 1995","1,91 m",right,Defender - Centre-Back,"Jan 31, 2020",31.05.2020,no info
376856,6082,376856,Charlie Goode,Northampton Town,England,"Aug 3, 1995","1,96 m",right,Defender - Centre-Back,"Jul 3, 2019",30.06.2022,no info
364803,6083,364803,Scott Wharton,Northampton Town,England,"Oct 3, 1997","1,82 m",left,Defender - Centre-Back,"Jul 26, 2019",31.05.2020,no info
612093,6084,612093,Jay Williams,Northampton Town,England,"Oct 4, 2000","1,87 m",no_info,Defender - Centre-Back,"Jul 1, 2018",30.06.2020,no info
662281,6085,662281,Ryan Hughes,Northampton Town,England,"Apr 24, 2001","1,93 m",no_info,Defender - Centre-Back,"Jul 1, 2019",30.06.2020,no info
61833,6086,61833,Joe Martin,Northampton Town,England,"Nov 29, 1988","1,83 m",left,Defender - Left-Back,"Jul 1, 2019",30.06.2021,no info
155233,6087,155233,Michael Harriman,Northampton Town,Ireland England,"Oct 23, 1992","1,68 m",right,Defender - Right-Back,"Sep 4, 2019",30.06.2020,no info
199526,6088,199526,Reece Hall-Johnson,Northampton Town,England Jamaica,"May 9, 1995","1,73 m",right,Defender - Right-Back,"Jul 1, 2019",30.06.2020,2005
15814,6089,15814,Alan McCormack,Northampton Town,Ireland,"Jan 10, 1984","1,80 m",right,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2020,no info
121269,6090,121269,Ryan Watson,Northampton Town,England,"Jul 7, 1993","1,85 m",right,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2021,6628
646899,6091,646899,Jack Newell,Northampton Town,England,"Jan 22, 2001","1,86 m",no_info,Midfielder - Defensive Midfield,"Jul 1, 2019",30.06.2020,no info
49748,6092,49748,Chris Lines,Northampton Town,England,"Nov 30, 1985","1,88 m",right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2021,no info
359204,6093,359204,Shaun McWilliams,Northampton Town,England,"Aug 14, 1998","1,80 m",no_info,Midfielder - Central Midfield,"Jul 1, 2016",30.06.2020,no info
622792,6094,622792,Scott Pollock,Northampton Town,England,"Mar 13, 2001","1,78 m",right,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2020,no info
506965,6095,506965,James Olayinka,Northampton Town,England Nigeria,"Oct 5, 2000","1,75 m",right,Midfielder - Central Midfield,"Jan 27, 2020",31.05.2020,27879
632551,6096,632551,Camron McWilliams,Northampton Town,England,"Jun 13, 2001","1,78 m",no_info,Midfielder - Central Midfield,"Jul 1, 2019",30.06.2020,no info
37393,6097,37393,Paul Anderson,Northampton Town,England,"Jul 23, 1988","1,75 m",right,Midfielder - Right Midfield,"Oct 18, 2019",30.06.2020,no info
63222,6098,63222,Nicky Adams,Northampton Town,Wales England,"Oct 16, 1986","1,78 m",right,Midfielder - Right Midfield,"Jul 1, 2019",30.06.2021,no info
579771,6099,579771,Morgan Roberts,Northampton Town,England,"Dec 20, 2000","1,78 m",no_info,Midfielder - Attacking Midfield,"Jul 1, 2018",30.06.2020,no info
550916,6100,550916,Sean Whaler,Northampton Town,England,"Jul 22, 2000",no_info,no_info,Midfielder - Attacking Midfield,"Jul 1, 2018",30.06.2020,no info
92250,6101,92250,Mark Marshall,Northampton Town,Jamaica England,"May 9, 1986","1,70 m",left,Forward - Right Winger,"Jan 25, 2020",30.06.2020,no info
198861,6102,198861,Sam Hoskins,Northampton Town,England,"Feb 4, 1993","1,73 m",no_info,Forward - Second Striker,"Aug 1, 2015",30.06.2020,4219
636949,6103,636949,Matt Warburton,Northampton Town,England,"May 24, 1992",no_info,no_info,Forward - Second Striker,"Jul 1, 2019",30.06.2021,no info
47909,6104,47909,Andy Williams,Northampton Town,England,"Aug 14, 1986","1,88 m",right,Forward - Centre-Forward,"Jul 1, 2018",30.06.2020,no info
452019,6105,452019,Harry Smith,Northampton Town,England,"May 18, 1995","1,98 m",right,Forward - Centre-Forward,"Jul 1, 2019",30.06.2022,no info
141905,6106,141905,Vadaine Oliver,Northampton Town,England Neukaledonien,"Oct 21, 1991","1,88 m",no_info,Forward - Centre-Forward,"Jul 3, 2019",30.06.2020,no info
492690,6107,492690,Callum Morton,Northampton Town,England,"Jan 19, 2000",no_info,no_info,Forward - Centre-Forward,"Jan 27, 2020",31.05.2020,no info
286378,6108,286378,Sacha Bastien,Stevenage FC,France,"Jan 22, 1995","1,96 m",right,Goalkeeper,"Aug 2, 2019",30.06.2020,no info
745297,6109,745297,Jack Berman,Stevenage FC U18,England,no_info,no_info,no_info,Goalkeeper,-,-,no info
97930,6110,97930,Paul Farman,Stevenage FC,England,"Nov 2, 1989","1,96 m",no_info,Goalkeeper,"Jul 1, 2018",30.06.2020,no info
33064,6111,33064,Adam El-Abd,Stevenage FC,Egypt England,"Sep 11, 1984","1,80 m",right,Defender - Centre-Back,"Sep 6, 2019",30.06.2020,no info
21330,6112,21330,Scott Cuthbert,Stevenage FC,Scotland,"Jun 15, 1987","1,88 m",right,Defender - Centre-Back,"Jul 1, 2018",30.06.2020,no info
238603,6113,238603,Ben Nugent,Stevenage FC,England,"Nov 28, 1993","1,93 m",right,Defender - Centre-Back,"Jul 18, 2018",30.06.2020,no info
406935,6114,406935,Terence Vancooten,Stevenage FC,Guyana England,"Dec 29, 1997","1,85 m",right,Defender - Centre-Back,"Jul 18, 2017",30.06.2020,no info
678927,6115,678927,Luis Fernandez,Stevenage FC,England,"Sep 28, 2001","1,93 m",right,Defender - Centre-Back,"Aug 28, 2019",30.06.2020,no info
452809,6116,452809,Tyler Denton,Stevenage FC,England,"Sep 6, 1995","1,76 m",left,Defender - Left-Back,"Jul 11, 2019",30.06.2020,12959
399447,6117,399447,Patrick Reading,Stevenage FC,Scotland England,"May 29, 1999",no_info,no_info,Defender - Left-Back,"Jan 31, 2020",30.06.2020,no info
401313,6118,401313,Canice Carroll,Stevenage FC,Ireland England,"Jan 26, 1999","1,82 m",right,Defender - Right-Back,"Jan 31, 2020",30.06.2020,no info
432181,6119,432181,Luther Wildin,Stevenage FC,Antigua and Barbuda England,"Dec 3, 1997","1,78 m",no_info,Defender - Right-Back,"Jul 1, 2018",30.06.2020,no info
